
	1	У хворої після підняття важкої сумки раптово з’явився гострий біль у попереку. Рухи в хребті обмежені. Не викликається ахілловий рефлекс зліва, з’явилась анестезія больової чутливості на зовнішній поверхні лівої гомілки. Яке захворювання запідозрите?
A	*Попереково-крижовий радикуліт
B	Люмбаго
C	Люмбалгія
D	Неврит стегнового нерв
E	Спінальний арахноїдит


 	2	У хворого 60 років 2 дні турбували сильні болі в правій руці. На 3-й день з’явились пухирцеві висипання у вигляді ланцюжка на шкірі плеча, передпліччя та кисті. Чутливість в ділянці висипань знижена. Яке захворювання можна діагностувати?
A	*Герпетичний гангліоніт
B	Дерматит
C	Шийно-грудний радикуліт
D	Псоріаз
E	Алергія


 	3	У хворого 70 років після переохолодження виникли сильні болі в лівій половині голови в ділянці лоба та лівого ока. Через 3 дні на фоні підвищеної температури тіла до 37,6оС з’явились пухирцеві висипання на чолі зліва та лівій верхній повіці. Яке захворювання можна діагностувати?
A	*Герпетичний гангліоніт
B	Невралгія трійчастого нерва
C	Холодова алергія
D	Алергічний Дерматит
E	Неврит трійчастого нерва


 	4	У хворого на фоні пекучого оперізувального болю в правій половині грудної клітки з’явилися на шкірі пухирцеві висипання у вигляді ланцюжка в середньогрудному відділі справа. Про яке захворювання слід думати?
A	*Герпетичний грудний гангліоніт
B	Грудний радикуліт
C	Вертеброгенна торакалгія
D	Міжреберна невралгія
E	Міалгія


 	5	У хворого, що отримав травму з переломом ключиці, з’явився в’ялий атрофічний параліч правої руки з порушенням всіх видів чутливості в ній. Про яке захворювання слід думати?
A	*Плексит плечового сплетення
B	Шийно-грудний радикуліт
C	Синдром кубітального каналу
D	Цервікоторакалгія
E	Поліневрит


 	6	Хворий з синдромом  Моргані-Едем – Стокса під час підйому по сходах втратив свідомість. Шкіра бліда, зіниці широкі, клоніко – тонічні судоми, грудна клітина нерухома. Діагноз:
A	*Клінічна смерть
B	Соціальна смерть
C	Преагонія
D	Агонія
E	Біологічна смерть


 	7	Молода жінка втратила за 3 місяці 8 кг ваги, скаржиться на серцебиття, потовщення шиї, відчуття “комка” при ковтанні, дратливість, тремтіння пальців рук, випинання очей, субфебрильну температуру. Найбільш вірогідний попередній діагноз?
A	*Тиреотоксикоз
B	Істерія.
C	Пухлина мозоку.
D	Хроніосепсіс.
E	Ревматизм.


 	8	У 31-річного хворого з'явився різкий озноб, Т 390С , що трималась 9 годин і раптово знизилась до нормальної з сильним потовиділенням.  Наступного дня Т 36,8оC,  пульс 70/хв. Живіт м'який, не болючий. Печінка +2 см, селезінка +3 см.  Рік тому повернувся з  Південної  Азії,  де  було декілька  приступів гарячки.   Яке дослідження найкраще провести для швидкого підтвердження діагнозу?
A	*Дослідження товстої краплі крові на малярію.
B	Дослідження крові на стерильність
C	Бактеріоскопію товстої краплі крові на менінгококк
D	Дослідження крові на anti-HEV Ig M.
E	Бактеріоскопію товстої краплі крові на лептоспіроз.


